id,name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,host_is_superhost,host_response_rate,host_acceptance_rate,availability_365,reviews_per_month,calculated_host_listings_count,bathrooms
250253,Apartment: Luise in Berlin,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,6,2.0,5.0,127.0,3,30,108,4.44,4.56,4.62,False,100.0,95.0,137,0.79,4,2.0
250687,Cherusker,Schöneberg-Süd,52.48471,13.35982,Entire home/apt,2,1.0,1.0,80.0,3,7,143,4.87,4.8,4.88,True,100.0,96.0,19,0.89,2,1.0
250704,Holiday Apartment with Garden,Marienfelde,52.42191,13.37495,Entire home/apt,4,1.0,2.0,71.0,5,35,76,4.95,4.96,4.95,False,50.0,62.0,335,0.55,1,1.0
250707,Apartment: Friederike in Berlin,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,4,1.0,1.0,111.0,3,30,51,4.5,4.54,4.6,False,100.0,95.0,148,0.34,4,1.0
250729,Apartment: Grazer Gärten in Berlin,Friedenau,52.47013,13.34851,Entire home/apt,6,2.0,3.0,112.0,3,30,55,4.53,4.6,4.6,False,100.0,95.0,140,0.53,4,1.0
250753,Apartment: Großer Kurfürst,Tiergarten Süd,52.49953,13.36546,Entire home/apt,6,2.0,5.0,127.0,3,30,99,4.64,4.59,4.69,False,100.0,95.0,114,1.05,4,1.5
250871,"Berlin, big 1-room-apartment!",Schöneberg-Süd,52.48538,13.34681,Entire home/apt,3,0.0,3.0,82.0,5,380,47,4.55,4.32,4.85,False,100.0,100.0,359,0.34,1,1.0
251406,2 Room I 56 m² I Comfort I Balcony,Brunnenstr. Süd,52.53703,13.39735,Entire home/apt,5,2.0,1.0,136.0,3,365,47,4.68,4.66,4.85,False,100.0,100.0,0,0.29,9,1.0
251423,2-room I 50 m² I Comfort I Balcony,Brunnenstr. Nord,52.53867,13.39712,Entire home/apt,5,2.0,1.0,127.0,3,365,50,4.56,4.52,4.9,False,100.0,100.0,63,0.31,9,1.0
251486,I 2 Room I 41 m²  I Balcony,Brunnenstr. Süd,52.53667,13.39505,Entire home/apt,4,2.0,2.0,104.0,3,365,99,4.85,4.66,4.94,False,100.0,100.0,58,0.61,9,1.0
251493,2-room I 41 m²  I Terrace > Mitte,Brunnenstr. Nord,52.53881,13.39654,Entire home/apt,4,2.0,2.0,127.0,3,365,58,4.77,4.6,4.84,False,100.0,100.0,70,0.36,9,1.0
251984,Coming Home In The Heart Of Berlin,Südliche Friedrichstadt,52.5008,13.38847,Private room,1,1.0,1.0,89.0,3,1125,52,4.92,4.9,4.78,False,,100.0,66,0.47,1,1.0
254788,Cosy Flat in Kreuzberg 36!,Südliche Friedrichstadt,52.49738,13.41322,Entire home/apt,3,2.0,3.0,55.0,95,1000,108,4.34,4.44,4.45,False,100.0,86.0,266,0.65,2,1.0
255557,Cosy studio FridayBerlin for you,Frankfurter Allee Süd FK,52.50786,13.46703,Entire home/apt,4,0.0,2.0,81.0,2,92,398,4.66,4.67,4.79,True,100.0,100.0,197,2.47,1,1.0
255722,Renovated apt in an old building,Tempelhofer Vorstadt,52.49707,13.3849,Entire home/apt,4,2.0,6.0,68.0,3,31,256,4.59,4.64,4.79,True,100.0,89.0,193,1.53,1,1.0
257373,Sunny Boutique Studio in the city center,Prenzlauer Berg Südwest,52.53949,13.41615,Entire home/apt,2,0.0,2.0,135.0,1,60,368,4.81,4.9,4.91,True,100.0,97.0,248,2.22,1,1.5
264459,"Central, cosy and one-of-a-kind",Prenzlauer Berg Südwest,52.53237,13.41548,Entire home/apt,2,1.0,1.0,137.0,3,13,789,4.86,4.84,4.93,True,100.0,99.0,150,4.8,3,1.0
265354,Nice apartment in Berlin,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,4,1.0,4.0,148.0,1,365,227,4.43,4.27,4.63,False,100.0,99.0,343,1.65,15,1.0
265389,Beautiful single room in Berlin,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,1,1.0,1.0,77.0,1,365,29,3.59,3.72,4.14,False,100.0,99.0,240,0.25,15,0.0
265394,Stylish double room in Berlin,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,2,1.0,2.0,112.0,1,365,306,4.27,4.17,4.56,False,100.0,99.0,352,2.37,15,0.0
265402,Nice room for 3 persons,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,3,1.0,3.0,18.0,1,365,208,4.36,4.26,4.57,False,100.0,99.0,337,1.63,15,0.0
265408,Elegant 4-bed room in Berlin,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,4,1.0,4.0,20.0,1,365,77,4.3,4.22,4.52,False,100.0,99.0,358,0.56,15,0.0
266086,berlin holiday apartment,Baumschulenweg,52.44987,13.48777,Entire home/apt,4,1.0,4.0,105.0,2,1125,52,4.73,4.67,4.4,False,100.0,100.0,242,0.39,1,1.0
267764,Berlin Mitte luxury,Brunnenstr. Süd,52.53646,13.39858,Entire home/apt,3,1.0,2.0,157.0,4,62,106,4.92,4.89,4.86,False,100.0,100.0,6,0.65,1,1.0
267951,Modernes Apartment in Berlin P´berg,Helmholtzplatz,52.54424,13.42139,Entire home/apt,4,1.0,2.0,108.0,2,1125,278,4.96,4.94,4.95,True,100.0,100.0,51,1.98,1,1.0
268974,Familie Heuckes Ferienwohnung,Rudow,52.41975,13.48541,Entire home/apt,4,1.0,1.0,90.0,3,30,59,4.98,4.95,4.83,False,100.0,100.0,275,0.39,1,1.0
273011,2BR Urban Retreat in prime Berlin West location,Halensee,52.49614,13.29501,Entire home/apt,5,2.0,3.0,144.0,3,90,119,4.85,4.85,4.81,True,100.0,83.0,254,0.74,1,1.5
302167,Nice 2 Room apartment at Prenzl Bg,Prenzlauer Berg Süd,52.53538,13.4296,Entire home/apt,4,1.0,2.0,74.0,92,365,62,4.79,4.87,4.72,False,,0.0,0,0.41,2,
303097,Beautiful city apartment at park,Prenzlauer Berg Süd,52.52987,13.4268,Private room,2,1.0,1.0,68.0,5,35,67,4.91,4.93,4.91,True,100.0,60.0,335,0.42,1,1.0
